Spotify-Song,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,y
https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG,0.773,0.47,2,-7.93,0.0299,0.0153,0.000193,0.0851,94.995,0.399,1
https://open.spotify.com/track/0d28khcov6AiegSCpG5TuT,0.818,0.705,6,-6.679,0.177,0.00836,0.00233,0.613,138.559,0.772,1
https://open.spotify.com/track/3dPQuX8Gs42Y7b454ybpMR,0.743,0.446,4,-7.807,0.0683,0.0039,0.118,0.337,123.596,0.278,-1
https://open.spotify.com/track/20I8RduZC2PWMWTDCZuuAN,0.277,0.663,4,-8.821,0.0377,0.000409,0.00051,0.136,104.561,0.527,-1
https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od,0.632,0.856,10,-3.463,0.0348,0.0624,0,0.347,119.397,0.867,1
https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r,0.515,0.43,7,-9.935,0.0372,0.0097,0.000133,0.129,91.844,0.104,1
https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha,0.575,0.568,9,-5.509,0.03,0.0484,0.000417,0.286,93.986,0.37,-1
https://open.spotify.com/track/1bCmvezFg5MRcENzCGG1Cy,0.511,0.815,7,-3.14,0.144,0.0491,0,0.0826,154.514,0.586,1
https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq,0.471,0.924,8,-3.906,0.0586,0.00301,0,0.313,154.961,0.725,1
https://open.spotify.com/track/70wYA8oYHoMzhRRkARoMhU,0.467,0.988,11,-3.313,0.112,0.000152,0.0484,0.28,130.433,0.321,1
https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0,0.559,0.345,4,-13.496,0.0459,0.0576,0.000105,0.141,84.581,0.458,1
https://open.spotify.com/track/3FtYbEfBqAlGO46NUDQSAt,0.763,0.803,1,-3.713,0.0351,0.0709,0.285,0.348,103.04,0.561,1
https://open.spotify.com/track/3NRql0A1Ef4RCvT473iqgD,0.584,0.684,10,-4.314,0.567,0.312,9.05E-05,0.112,210.164,0.72,-1
https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5,0.588,0.521,10,-9.461,0.0329,0.0678,0.149,0.123,85.012,0.337,1
https://open.spotify.com/track/5UWwZ5lm5PKu6eKsHAGxOk,0.413,0.881,11,-5.541,0.0367,5.99E-05,0.000308,0.0805,158.066,0.364,-1
